antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Conference Webcam'}),frozenset({'External HDD'}),0.25,0.225,0.1,0.4,1.777777777777778,1.0,0.043750000000000004,1.2916666666666667,0.5833333333333333,0.26666666666666666,0.22580645161290325,0.4222222222222223
frozenset({'External HDD'}),frozenset({'Conference Webcam'}),0.225,0.25,0.1,0.4444444444444445,1.777777777777778,1.0,0.043750000000000004,1.3499999999999999,0.564516129032258,0.26666666666666666,0.2592592592592593,0.4222222222222223
frozenset({'NAS Storage'}),frozenset({'External HDD'}),0.275,0.225,0.1,0.36363636363636365,1.6161616161616161,1.0,0.038125,1.217857142857143,0.5258620689655172,0.25,0.17888563049853373,0.4040404040404041
frozenset({'External HDD'}),frozenset({'NAS Storage'}),0.225,0.275,0.1,0.4444444444444445,1.6161616161616161,1.0,0.038125,1.305,0.49193548387096764,0.25,0.23371647509578547,0.4040404040404041
frozenset({'NAS Storage'}),frozenset({'HDMI Cable'}),0.275,0.25,0.125,0.45454545454545453,1.8181818181818181,1.0,0.056249999999999994,1.375,0.6206896551724137,0.3125,0.2727272727272727,0.4772727272727273
frozenset({'HDMI Cable'}),frozenset({'NAS Storage'}),0.25,0.275,0.125,0.5,1.8181818181818181,1.0,0.056249999999999994,1.45,0.6,0.3125,0.31034482758620685,0.4772727272727273
frozenset({'Printer'}),frozenset({'Headset'}),0.2,0.175,0.125,0.625,3.5714285714285716,1.0,0.09,2.1999999999999997,0.8999999999999999,0.5,0.5454545454545455,0.6696428571428572
frozenset({'Headset'}),frozenset({'Printer'}),0.175,0.2,0.125,0.7142857142857143,3.571428571428571,1.0,0.09,2.8000000000000003,0.8727272727272728,0.5,0.6428571428571428,0.6696428571428572
